Region,Altitude,Mois,Saison,SOC,Clay,Nitrogen,CEC,Temp,Hum,pH,Lux,CE,Crop
Menabe,231.0,1,0,23.9,28.2,16.9,14.4,27.1,65.1,6.5,44439.0,966.0,Haricot
Haute Matsiatra,1373.0,1,0,24.1,24.9,18.2,12.7,18.1,59.2,6.8,49602.0,604.0,Orange
Itasy,1564.0,1,0,28.4,33.2,25.5,14.3,18.9,56.2,7.2,47212.0,872.0,Orange
Menabe,258.0,12,0,23.9,28.2,16.9,14.4,37.1,48.6,6.0,57772.0,942.0,Mangue
Analanjirofo,372.0,11,0,54.8,35.0,29.5,18.5,23.3,75.1,6.4,68011.0,768.0,Litchi
Atsimo-Andrefana,159.0,7,1,25.3,27.9,10.9,14.1,26.7,49.1,6.5,56653.0,1922.0,Pois_du_Cap
Haute Matsiatra,1017.0,5,1,24.1,24.9,18.2,12.7,26.4,72.8,5.9,52519.0,822.0,Tomate
Diana,244.0,2,0,30.8,26.1,20.5,24.4,29.1,57.4,6.5,38098.0,927.0,Maïs
Vakinankaratra,1336.0,1,0,36.1,33.3,28.2,15.2,15.9,66.1,6.4,53591.0,400.0,Haricot
Atsinanana,247.0,9,1,60.7,39.8,32.2,16.4,26.6,62.1,4.8,58693.0,1012.0,Ananas
Bongolava,1127.0,11,0,24.5,32.2,18.9,13.2,27.7,85.7,6.9,55004.0,512.0,Banane
Atsimo-Andrefana,345.0,5,1,25.3,27.9,10.9,14.1,29.7,48.3,6.3,46071.0,1095.0,Pois_du_Cap
Sofia,322.0,1,0,24.8,23.3,16.4,10.2,23.4,77.0,6.1,62904.0,864.0,Riz_Plateau
Melaky,241.0,1,0,26.0,23.7,21.3,15.3,23.0,64.4,6.1,44737.0,909.0,Riz_Plateau
Haute Matsiatra,1248.0,5,1,24.1,24.9,18.2,12.7,18.7,61.7,6.3,50843.0,786.0,Tomate
Analamanga,1450.0,11,0,23.4,27.6,19.5,16.3,29.7,66.3,5.8,58730.0,1019.0,Riz_Plateau
Analanjirofo,247.0,12,0,54.8,35.0,29.5,18.5,29.9,72.6,6.1,50662.0,768.0,Litchi
Bongolava,1294.0,1,0,24.5,32.2,18.9,13.2,31.7,63.0,6.3,36395.0,684.0,Arachide
Sofia,109.0,5,1,24.8,23.3,16.4,10.2,27.5,86.1,6.4,56106.0,721.0,Riz_Decrue
Haute Matsiatra,1392.0,1,0,24.1,24.9,18.2,12.7,29.7,58.5,6.1,51946.0,569.0,Orange
Haute Matsiatra,1355.0,6,1,24.1,24.9,18.2,12.7,16.3,76.8,6.4,26935.0,1270.0,Pomme_de_Terre
Vakinankaratra,1864.0,11,0,36.1,33.3,28.2,15.2,24.9,66.2,6.0,64567.0,428.0,Maïs
Boeny,257.0,1,0,28.2,24.7,21.7,15.4,24.6,42.2,7.0,48620.0,854.0,Sorgho
Atsimo-Andrefana,380.0,1,0,25.3,27.9,10.9,14.1,25.9,60.7,6.6,44175.0,529.0,Haricot
Itasy,1521.0,6,1,28.4,33.2,25.5,14.3,18.4,73.9,5.9,32037.0,732.0,Fraise
Bongolava,822.0,9,1,24.5,32.2,18.9,13.2,25.6,77.5,4.8,60377.0,1079.0,Ananas
Analanjirofo,226.0,11,0,54.8,35.0,29.5,18.5,22.8,88.9,5.1,58576.0,876.0,Litchi
Boeny,210.0,12,0,28.2,24.7,21.7,15.4,32.8,52.7,6.7,72762.0,810.0,Mangue
Anosy,333.0,1,0,19.2,22.4,16.0,15.2,29.3,65.8,6.2,54926.0,440.0,Maïs
Diana,346.0,1,0,30.8,26.1,20.5,24.4,15.2,48.8,5.8,48809.0,829.0,Arachide
Atsimo-Andrefana,190.0,7,1,25.3,27.9,10.9,14.1,23.6,25.0,6.8,46591.0,1661.0,Sorgho_CS
Menabe,321.0,11,0,23.9,28.2,16.9,14.4,31.8,73.2,6.0,57761.0,699.0,Riz_Plateau
Vakinankaratra,1936.0,7,1,36.1,33.3,28.2,15.2,10.2,78.7,6.5,38970.0,760.0,Pomme
Bongolava,1124.0,11,0,24.5,32.2,18.9,13.2,16.4,71.8,6.7,39954.0,637.0,Haricot
Haute Matsiatra,1024.0,1,0,24.1,24.9,18.2,12.7,21.7,63.0,6.2,58118.0,1287.0,Orange
Analanjirofo,189.0,11,0,54.8,35.0,29.5,18.5,24.9,86.1,5.8,52762.0,896.0,Banane
Analamanga,1591.0,12,0,23.4,27.6,19.5,16.3,23.0,77.0,6.7,52333.0,499.0,Haricot
Diana,338.0,6,1,30.8,26.1,20.5,24.4,26.0,65.3,5.9,46859.0,1138.0,Tomate
Ihorombe,930.0,11,0,15.9,28.1,12.1,17.6,34.8,96.1,5.9,55168.0,325.0,Riz_Bas_Fonds
Diana,346.0,12,0,30.8,26.1,20.5,24.4,18.8,74.7,6.3,36468.0,568.0,Haricot
Ihorombe,713.0,12,0,15.9,28.1,12.1,17.6,27.5,53.6,5.7,50973.0,694.0,Sorgho
Diana,298.0,1,0,30.8,26.1,20.5,24.4,24.2,78.7,6.3,50341.0,1147.0,Orange
Amoron'i Mania,1301.0,5,1,31.1,27.9,19.6,13.9,20.4,82.0,6.1,31036.0,589.0,Pomme_de_Terre
Itasy,1570.0,1,0,28.4,33.2,25.5,14.3,29.7,77.0,6.8,46400.0,661.0,Orange
Vakinankaratra,1380.0,6,1,36.1,33.3,28.2,15.2,18.3,83.7,5.9,39339.0,1310.0,Pomme_de_Terre
Vakinankaratra,1672.0,7,1,36.1,33.3,28.2,15.2,20.2,73.7,6.0,48612.0,812.0,Pomme
Ihorombe,1064.0,12,0,15.9,28.1,12.1,17.6,20.8,35.8,7.5,60757.0,1555.0,Sorgho
Bongolava,1184.0,1,0,24.5,32.2,18.9,13.2,21.9,69.2,6.0,29319.0,662.0,Haricot
Androy,321.0,5,1,14.8,24.7,10.9,22.8,24.5,38.3,6.9,47945.0,1017.0,Sorgho_CS
Melaky,208.0,6,1,26.0,23.7,21.3,15.3,26.6,84.9,6.0,61162.0,615.0,Riz_Decrue
Androy,327.0,5,1,14.8,24.7,10.9,22.8,32.2,30.8,7.1,41180.0,580.0,Sorgho_CS
Diana,88.0,11,0,30.8,26.1,20.5,24.4,37.5,43.3,7.3,64539.0,488.0,Mangue
Boeny,191.0,7,1,28.2,24.7,21.7,15.4,31.6,89.1,6.4,49494.0,1294.0,Riz_Decrue
Atsinanana,10.0,11,0,60.7,39.8,32.2,16.4,22.6,97.2,5.3,51294.0,644.0,Riz_Bas_Fonds
Menabe,97.0,12,0,23.9,28.2,16.9,14.4,30.9,52.6,5.6,68065.0,887.0,Mangue
Analanjirofo,133.0,12,0,54.8,35.0,29.5,18.5,24.0,75.4,5.3,40875.0,874.0,Litchi
Haute Matsiatra,1266.0,7,1,24.1,24.9,18.2,12.7,20.4,81.8,5.6,47866.0,1200.0,Pomme_de_Terre
Amoron'i Mania,1646.0,7,1,31.1,27.9,19.6,13.9,19.2,80.6,6.3,20456.0,1360.0,Pomme_de_Terre
Analanjirofo,297.0,12,0,54.8,35.0,29.5,18.5,20.7,73.3,5.6,66144.0,395.0,Litchi
Androy,198.0,6,1,14.8,24.7,10.9,22.8,26.3,37.8,5.6,55939.0,1666.0,Sorgho_CS
Amoron'i Mania,1336.0,6,1,31.1,27.9,19.6,13.9,14.8,70.6,6.4,24458.0,1363.0,Pomme_de_Terre
Menabe,387.0,7,1,23.9,28.2,16.9,14.4,24.8,88.7,5.8,53262.0,1402.0,Riz_Decrue
Bongolava,900.0,12,0,24.5,32.2,18.9,13.2,12.7,78.9,6.0,25036.0,496.0,Haricot
Bongolava,1057.0,12,0,24.5,32.2,18.9,13.2,31.3,94.3,7.0,44510.0,772.0,Banane
Menabe,47.0,5,1,23.9,28.2,16.9,14.4,23.7,87.7,6.0,64824.0,1264.0,Riz_Decrue
Betsiboka,365.0,5,1,27.9,23.7,28.2,10.9,24.5,85.5,6.1,43194.0,515.0,Riz_Decrue
Amoron'i Mania,1243.0,7,1,31.1,27.9,19.6,13.9,15.6,61.5,6.6,30733.0,454.0,Pomme
Atsimo-Andrefana,409.0,5,1,25.3,27.9,10.9,14.1,24.4,39.2,7.0,57758.0,1904.0,Pois_du_Cap
Atsinanana,135.0,11,0,60.7,39.8,32.2,16.4,28.0,75.2,5.1,58355.0,471.0,Litchi
Sofia,169.0,12,0,24.8,23.3,16.4,10.2,23.2,52.5,6.3,50895.0,1195.0,Arachide
Anosy,211.0,6,1,19.2,22.4,16.0,15.2,19.7,54.4,6.0,46946.0,514.0,Oignon
Diana,274.0,12,0,30.8,26.1,20.5,24.4,28.8,61.2,6.5,37659.0,1566.0,Maïs
Atsimo-Andrefana,76.0,5,1,25.3,27.9,10.9,14.1,27.4,41.1,6.7,49019.0,1980.0,Pois_du_Cap
Melaky,271.0,12,0,26.0,23.7,21.3,15.3,19.1,68.6,5.8,51569.0,620.0,Arachide
Anosy,152.0,8,1,19.2,22.4,16.0,15.2,19.2,63.9,6.5,33196.0,1116.0,Oignon
Anosy,413.0,1,0,19.2,22.4,16.0,15.2,26.6,64.7,5.7,49462.0,966.0,Riz_Plateau
Ihorombe,1000.0,1,0,15.9,28.1,12.1,17.6,28.0,72.5,6.8,52776.0,636.0,Haricot
Analanjirofo,303.0,1,0,54.8,35.0,29.5,18.5,29.1,54.3,6.0,59608.0,1206.0,Maïs
Haute Matsiatra,1481.0,1,0,24.1,24.9,18.2,12.7,25.7,67.5,6.8,54632.0,995.0,Orange
Sofia,94.0,11,0,24.8,23.3,16.4,10.2,24.9,91.5,6.0,56911.0,1280.0,Riz_Bas_Fonds
Boeny,50.0,12,0,28.2,24.7,21.7,15.4,33.8,62.7,7.0,75965.0,684.0,Mangue
SAVA,225.0,11,0,64.8,36.6,48.0,20.9,29.1,81.6,5.2,64759.0,941.0,Ananas
Haute Matsiatra,1197.0,7,1,24.1,24.9,18.2,12.7,24.8,79.6,5.9,32197.0,1621.0,Tomate
Vakinankaratra,1805.0,4,0,36.1,33.3,28.2,15.2,18.2,80.0,5.7,46148.0,539.0,Fraise
Vakinankaratra,1655.0,12,0,36.1,33.3,28.2,15.2,29.0,91.8,6.2,54983.0,854.0,Riz_Bas_Fonds
Atsinanana,330.0,9,1,60.7,39.8,32.2,16.4,24.7,74.7,5.4,68141.0,1020.0,Ananas
Diana,345.0,2,0,30.8,26.1,20.5,24.4,23.6,56.8,7.0,68046.0,547.0,Orange
Diana,96.0,11,0,30.8,26.1,20.5,24.4,32.9,64.8,6.1,54627.0,829.0,Mangue
Haute Matsiatra,1382.0,12,0,24.1,24.9,18.2,12.7,23.3,89.3,5.7,48711.0,1416.0,Riz_Bas_Fonds
Diana,459.0,6,1,30.8,26.1,20.5,24.4,20.1,65.8,6.2,31382.0,1043.0,Oignon
Diana,347.0,10,1,30.8,26.1,20.5,24.4,35.7,57.0,6.0,58840.0,867.0,Mangue
Atsimo-Andrefana,495.0,12,0,25.3,27.9,10.9,14.1,27.7,45.4,7.4,56272.0,1044.0,Sorgho
Boeny,26.0,11,0,28.2,24.7,21.7,15.4,27.5,62.6,6.7,79454.0,424.0,Mangue
Itasy,1322.0,6,1,28.4,33.2,25.5,14.3,25.9,65.1,6.3,36739.0,756.0,Tomate
Analanjirofo,103.0,1,0,54.8,35.0,29.5,18.5,28.6,91.8,6.3,49133.0,1331.0,Banane
Atsinanana,104.0,6,1,60.7,39.8,32.2,16.4,19.5,66.5,6.4,44516.0,558.0,Oignon
Boeny,144.0,5,1,28.2,24.7,21.7,15.4,32.5,83.5,5.9,49667.0,1457.0,Riz_Decrue
Sofia,343.0,11,0,24.8,23.3,16.4,10.2,33.4,93.2,5.3,54906.0,613.0,Riz_Bas_Fonds
Diana,270.0,1,0,30.8,26.1,20.5,24.4,24.3,77.9,7.0,68595.0,1297.0,Orange
Sofia,442.0,1,0,24.8,23.3,16.4,10.2,31.2,44.4,6.7,47194.0,951.0,Sorgho
Vakinankaratra,1283.0,6,1,36.1,33.3,28.2,15.2,16.4,79.0,6.4,42181.0,664.0,Fraise
Itasy,1564.0,4,0,28.4,33.2,25.5,14.3,22.1,67.5,6.4,31160.0,949.0,Haricot_CS
Bongolava,958.0,12,0,24.5,32.2,18.9,13.2,34.8,66.7,5.8,49994.0,797.0,Riz_Plateau
Diana,213.0,12,0,30.8,26.1,20.5,24.4,13.5,70.0,6.7,36483.0,556.0,Haricot
Analamanga,1135.0,7,1,23.4,27.6,19.5,16.3,19.9,78.7,5.5,36828.0,423.0,Pomme_de_Terre
Atsimo-Atsinanana,369.0,2,0,49.2,29.9,29.9,18.8,27.8,60.7,7.0,39294.0,616.0,Maïs
Atsinanana,231.0,6,1,60.7,39.8,32.2,16.4,21.6,65.9,6.7,35856.0,1115.0,Oignon
Analamanga,1390.0,6,1,23.4,27.6,19.5,16.3,18.5,63.8,6.5,63333.0,1722.0,Tomate
Analamanga,1147.0,5,1,23.4,27.6,19.5,16.3,19.0,67.2,5.7,35979.0,1350.0,Pomme_de_Terre
Ihorombe,1136.0,11,0,15.9,28.1,12.1,17.6,34.5,85.6,5.9,57190.0,681.0,Riz_Bas_Fonds
Analamanga,1103.0,5,1,23.4,27.6,19.5,16.3,24.5,73.3,6.0,36418.0,678.0,Fraise
Haute Matsiatra,1487.0,1,0,24.1,24.9,18.2,12.7,30.0,64.9,6.2,42451.0,916.0,Orange
Atsimo-Andrefana,107.0,6,1,25.3,27.9,10.9,14.1,27.6,56.5,6.6,57099.0,1413.0,Pois_du_Cap
Ihorombe,672.0,12,0,15.9,28.1,12.1,17.6,30.6,49.6,5.8,56394.0,1324.0,Sorgho
Atsinanana,286.0,12,0,60.7,39.8,32.2,16.4,25.7,47.0,6.1,40350.0,1226.0,Arachide
Vakinankaratra,1389.0,5,1,36.1,33.3,28.2,15.2,26.5,69.4,6.5,42993.0,889.0,Tomate
Haute Matsiatra,1176.0,6,1,24.1,24.9,18.2,12.7,22.8,79.2,6.6,35068.0,1694.0,Tomate
Itasy,1076.0,10,1,28.4,33.2,25.5,14.3,26.0,54.4,6.9,52147.0,748.0,Sorgho
Diana,245.0,12,0,30.8,26.1,20.5,24.4,34.7,95.8,6.4,45213.0,608.0,Riz_Bas_Fonds
Atsimo-Andrefana,305.0,11,0,25.3,27.9,10.9,14.1,20.6,41.9,7.0,58255.0,1471.0,Sorgho
Atsinanana,169.0,1,0,60.7,39.8,32.2,16.4,31.6,92.2,6.5,54487.0,888.0,Banane
Haute Matsiatra,1029.0,11,0,24.1,24.9,18.2,12.7,22.7,70.7,5.9,40131.0,303.0,Riz_Plateau
Vakinankaratra,1445.0,1,0,36.1,33.3,28.2,15.2,21.2,45.6,6.8,37946.0,436.0,Arachide
Diana,27.0,6,1,30.8,26.1,20.5,24.4,24.2,65.5,5.5,51203.0,1520.0,Tomate
Bongolava,835.0,9,1,24.5,32.2,18.9,13.2,22.6,72.4,5.4,52433.0,435.0,Ananas
Alaotra-Mangoro,863.0,1,0,16.6,25.9,13.3,14.3,28.5,61.3,6.9,54328.0,448.0,Arachide
Atsimo-Andrefana,56.0,6,1,25.3,27.9,10.9,14.1,21.4,42.4,6.7,62187.0,654.0,Pois_du_Cap
Vatovavy-Fitovinany,119.0,2,0,54.5,26.3,29.7,21.3,25.6,57.0,6.2,58428.0,1613.0,Maïs
Boeny,14.0,11,0,28.2,24.7,21.7,15.4,29.8,43.2,5.6,70261.0,881.0,Mangue
Haute Matsiatra,1524.0,2,0,24.1,24.9,18.2,12.7,21.6,64.7,6.4,65733.0,1248.0,Orange
Atsimo-Andrefana,453.0,11,0,25.3,27.9,10.9,14.1,25.1,40.8,7.4,55585.0,949.0,Sorgho
Haute Matsiatra,1391.0,8,1,24.1,24.9,18.2,12.7,16.9,84.4,6.5,36937.0,500.0,Pomme_de_Terre
Betsiboka,333.0,11,0,27.9,23.7,28.2,10.9,23.7,61.6,6.4,59971.0,1528.0,Maïs
Ihorombe,692.0,12,0,15.9,28.1,12.1,17.6,27.0,72.7,6.3,63949.0,456.0,Riz_Plateau
Itasy,1666.0,5,1,28.4,33.2,25.5,14.3,22.1,63.5,6.6,42363.0,1099.0,Haricot_CS
Amoron'i Mania,1579.0,6,1,31.1,27.9,19.6,13.9,17.5,71.5,5.7,37581.0,1314.0,Pomme_de_Terre
Alaotra-Mangoro,776.0,8,1,16.6,25.9,13.3,14.3,31.1,81.9,6.1,63688.0,922.0,Riz_Decrue
Bongolava,811.0,6,1,24.5,32.2,18.9,13.2,22.6,57.8,6.7,27520.0,570.0,Haricot_CS
Sofia,431.0,6,1,24.8,23.3,16.4,10.2,20.0,57.6,6.3,57962.0,1080.0,Oignon
Itasy,1413.0,1,0,28.4,33.2,25.5,14.3,23.2,77.6,6.4,50487.0,680.0,Orange
Menabe,369.0,6,1,23.9,28.2,16.9,14.4,23.6,51.0,6.3,47215.0,1688.0,Pois_du_Cap
Itasy,1271.0,5,1,28.4,33.2,25.5,14.3,17.7,50.8,7.4,26825.0,571.0,Haricot_CS
Amoron'i Mania,1447.0,5,1,31.1,27.9,19.6,13.9,17.0,73.1,5.9,46191.0,1334.0,Pomme_de_Terre
Menabe,129.0,6,1,23.9,28.2,16.9,14.4,27.5,42.7,7.1,51257.0,621.0,Pois_du_Cap
Alaotra-Mangoro,1183.0,7,1,16.6,25.9,13.3,14.3,22.8,92.1,5.3,52634.0,1466.0,Riz_Decrue
Vakinankaratra,1373.0,6,1,36.1,33.3,28.2,15.2,19.5,50.4,6.9,51877.0,975.0,Haricot_CS
Diana,176.0,1,0,30.8,26.1,20.5,24.4,25.4,72.5,6.0,56296.0,464.0,Riz_Plateau
Atsinanana,382.0,11,0,60.7,39.8,32.2,16.4,25.9,62.2,5.0,62813.0,530.0,Ananas
Analamanga,1110.0,11,0,23.4,27.6,19.5,16.3,15.2,45.1,5.9,46333.0,612.0,Arachide
Itasy,1053.0,4,0,28.4,33.2,25.5,14.3,24.0,71.1,6.4,50852.0,729.0,Fraise
Androy,284.0,6,1,14.8,24.7,10.9,22.8,28.2,49.7,5.9,55946.0,919.0,Sorgho_CS
Anosy,589.0,1,0,19.2,22.4,16.0,15.2,24.6,87.6,6.0,44797.0,502.0,Riz_Bas_Fonds
Bongolava,1322.0,12,0,24.5,32.2,18.9,13.2,34.1,30.6,7.5,61699.0,1111.0,Sorgho
Menabe,158.0,12,0,23.9,28.2,16.9,14.4,34.1,62.1,6.6,63410.0,703.0,Mangue
Menabe,211.0,6,1,23.9,28.2,16.9,14.4,25.0,52.5,7.1,52304.0,1833.0,Pois_du_Cap
Sofia,15.0,4,0,24.8,23.3,16.4,10.2,26.0,69.7,6.3,58876.0,1156.0,Oignon
Boeny,68.0,1,0,28.2,24.7,21.7,15.4,24.3,46.7,5.6,49204.0,880.0,Arachide
Anosy,120.0,11,0,19.2,22.4,16.0,15.2,27.6,36.4,5.9,62209.0,940.0,Sorgho
Amoron'i Mania,1122.0,6,1,31.1,27.9,19.6,13.9,15.7,73.4,6.3,31828.0,877.0,Pomme
SAVA,4.0,11,0,64.8,36.6,48.0,20.9,25.5,64.5,6.1,57520.0,540.0,Riz_Plateau
Analamanga,1468.0,12,0,23.4,27.6,19.5,16.3,18.5,55.3,6.6,55803.0,752.0,Arachide
Itasy,1264.0,7,1,28.4,33.2,25.5,14.3,26.7,68.4,6.0,42790.0,1138.0,Tomate
Analamanga,1372.0,6,1,23.4,27.6,19.5,16.3,15.9,76.8,6.0,47165.0,670.0,Fraise
Amoron'i Mania,1394.0,2,0,31.1,27.9,19.6,13.9,17.2,61.3,6.2,30782.0,693.0,Haricot
SAVA,83.0,9,1,64.8,36.6,48.0,20.9,20.7,63.6,5.5,67159.0,543.0,Ananas
Menabe,215.0,6,1,23.9,28.2,16.9,14.4,29.5,49.3,6.4,48557.0,1649.0,Pois_du_Cap
Menabe,134.0,2,0,23.9,28.2,16.9,14.4,29.9,63.8,6.2,36548.0,810.0,Haricot
Analanjirofo,174.0,12,0,54.8,35.0,29.5,18.5,23.1,89.0,6.1,55841.0,1407.0,Riz_Bas_Fonds
Bongolava,956.0,12,0,24.5,32.2,18.9,13.2,23.1,90.2,6.3,38053.0,1174.0,Banane
Analanjirofo,339.0,12,0,54.8,35.0,29.5,18.5,34.8,79.4,6.4,62442.0,1310.0,Banane
Bongolava,1060.0,11,0,24.5,32.2,18.9,13.2,29.5,69.2,5.2,55753.0,909.0,Ananas
Vakinankaratra,1881.0,6,1,36.1,33.3,28.2,15.2,12.6,77.1,6.4,27510.0,1519.0,Pomme_de_Terre
Analanjirofo,346.0,12,0,54.8,35.0,29.5,18.5,25.2,83.6,6.4,64785.0,516.0,Litchi
Diana,305.0,10,1,30.8,26.1,20.5,24.4,32.3,45.9,6.2,59744.0,501.0,Mangue
Anosy,260.0,6,1,19.2,22.4,16.0,15.2,25.0,31.9,7.4,46867.0,1759.0,Sorgho_CS
Analamanga,1549.0,7,1,23.4,27.6,19.5,16.3,15.6,74.2,5.9,47600.0,1413.0,Pomme_de_Terre
Atsinanana,141.0,9,1,60.7,39.8,32.2,16.4,28.2,75.9,4.9,55812.0,828.0,Ananas
Analamanga,1304.0,4,0,23.4,27.6,19.5,16.3,20.2,75.0,5.8,32704.0,493.0,Fraise
Anosy,107.0,7,1,19.2,22.4,16.0,15.2,19.5,64.6,6.3,56105.0,791.0,Oignon
Alaotra-Mangoro,1053.0,7,1,16.6,25.9,13.3,14.3,27.0,84.7,5.3,48965.0,718.0,Riz_Decrue
SAVA,364.0,9,1,64.8,36.6,48.0,20.9,23.2,82.8,4.9,62844.0,1082.0,Ananas
Menabe,319.0,5,1,23.9,28.2,16.9,14.4,26.6,88.9,6.1,59148.0,814.0,Riz_Decrue
Diana,344.0,12,0,30.8,26.1,20.5,24.4,20.0,67.5,6.0,45093.0,845.0,Arachide
Sofia,584.0,11,0,24.8,23.3,16.4,10.2,24.3,56.0,6.4,55755.0,761.0,Maïs
Atsimo-Andrefana,495.0,5,1,25.3,27.9,10.9,14.1,25.0,55.1,6.9,50728.0,1668.0,Pois_du_Cap
Vakinankaratra,1321.0,6,1,36.1,33.3,28.2,15.2,20.7,62.5,6.3,59059.0,426.0,Pomme
Vakinankaratra,1885.0,6,1,36.1,33.3,28.2,15.2,20.0,66.2,5.5,53011.0,535.0,Tomate
Atsimo-Andrefana,238.0,6,1,25.3,27.9,10.9,14.1,24.0,38.0,6.3,45250.0,1508.0,Pois_du_Cap
Menabe,394.0,1,0,23.9,28.2,16.9,14.4,31.7,51.1,6.1,62147.0,1463.0,Sorgho
Vatovavy-Fitovinany,18.0,1,0,54.5,26.3,29.7,21.3,18.3,68.7,6.8,37179.0,730.0,Haricot
Boeny,82.0,11,0,28.2,24.7,21.7,15.4,17.2,68.3,6.7,55845.0,600.0,Arachide
Amoron'i Mania,1493.0,7,1,31.1,27.9,19.6,13.9,13.2,84.6,5.8,31184.0,1402.0,Pomme_de_Terre
Atsinanana,62.0,12,0,60.7,39.8,32.2,16.4,26.7,76.7,6.4,35852.0,562.0,Banane
Diana,102.0,6,1,30.8,26.1,20.5,24.4,23.1,52.5,6.7,30843.0,913.0,Oignon
SAVA,9.0,11,0,64.8,36.6,48.0,20.9,27.0,99.3,5.6,64499.0,607.0,Riz_Bas_Fonds
Menabe,129.0,12,0,23.9,28.2,16.9,14.4,31.7,76.8,5.8,57411.0,394.0,Riz_Plateau
SAVA,11.0,11,0,64.8,36.6,48.0,20.9,24.3,79.7,5.3,64949.0,405.0,Litchi
Anosy,301.0,6,1,19.2,22.4,16.0,15.2,23.6,41.0,5.5,59495.0,1405.0,Sorgho_CS
Sofia,412.0,5,1,24.8,23.3,16.4,10.2,20.9,64.5,6.5,44750.0,748.0,Oignon
Atsinanana,301.0,11,0,60.7,39.8,32.2,16.4,24.4,71.0,6.0,64553.0,598.0,Litchi
Sofia,34.0,12,0,24.8,23.3,16.4,10.2,28.2,93.7,6.2,63494.0,539.0,Riz_Bas_Fonds
Itasy,1261.0,1,0,28.4,33.2,25.5,14.3,28.3,57.0,6.6,59771.0,1110.0,Orange
Menabe,220.0,7,1,23.9,28.2,16.9,14.4,27.1,90.2,6.4,63947.0,496.0,Riz_Decrue
Bongolava,1367.0,11,0,24.5,32.2,18.9,13.2,27.4,87.2,6.3,36908.0,1356.0,Banane
Androy,86.0,5,1,14.8,24.7,10.9,22.8,31.5,39.8,7.1,55576.0,829.0,Sorgho_CS
Vakinankaratra,1961.0,7,1,36.1,33.3,28.2,15.2,19.3,64.4,6.5,54382.0,507.0,Pomme
Atsinanana,381.0,12,0,60.7,39.8,32.2,16.4,29.2,69.1,6.3,48356.0,1089.0,Riz_Plateau
Vakinankaratra,1802.0,6,1,36.1,33.3,28.2,15.2,19.9,71.5,6.0,53799.0,476.0,Fraise
Vakinankaratra,1390.0,6,1,36.1,33.3,28.2,15.2,17.1,67.3,6.3,50903.0,909.0,Pomme
